Index,RTT(ms),Jitter(ms),RTT_Jitter(ms)
1552,0.279534,-0.064295,-0.015147
1553,0.306533,0.026999,0.091294
1554,0.367996,0.061463,0.034464
1555,0.557901,0.189905,0.128442
1556,10.9787,10.4208,10.2309
1557,0.936508,-10.0422,-20.4631
1558,0.927526,-0.008982,10.0333
1559,3.66898,2.74145,2.75043
1560,9.76746,6.09849,3.35704
1561,0.739844,-9.02762,-15.1261
1562,0.357625,-0.382219,8.6454
1563,0.429402,0.071777,0.453996
1564,0.653752,0.22435,0.152573
1565,0.581734,-0.072018,-0.296368
1566,0.543827,-0.037907,0.034111
1567,0.563994,0.020167,0.058074
1568,0.578512,0.014518,-0.005649
1569,0.51992,-0.058592,-0.07311
1570,0.56666,0.04674,0.105332
1571,0.406662,-0.159998,-0.206738
1572,0.512291,0.105629,0.265627
1573,0.675066,0.162775,0.057146
1574,0.479347,-0.195719,-0.358494
1575,0.345163,-0.134184,0.061535
1576,0.365996,0.020833,0.155017
1577,0.361552,-0.004444,-0.025277
1578,0.31033,-0.051222,-0.046778
1579,0.422144,0.111814,0.163036
1580,0.64027,0.218126,0.106312
1581,0.63453,-0.00574,-0.223866
1582,0.360478,-0.274052,-0.268312
1583,0.353829,-0.006649,0.267403
1584,0.308034,-0.045795,-0.039146
1585,0.324218,0.016184,0.061979
1586,0.491458,0.16724,0.151056
1587,0.617623,0.126165,-0.041075
1588,6.03058,5.41296,5.28679
1589,6.46694,0.436365,-4.97659
