Timestamp (s),Timestamp (ns),Jitter (ns)
1550,358147423,62391
1550,358209887,62464
1550,358272426,62539
1550,358334854,62428
1550,358397189,62335
1550,358459654,62465
1550,358522341,62687
1550,358584769,62428
1550,358648234,63465
1550,358710754,62520
1550,358773497,62743
1550,358836350,62853
1550,358898963,62613
1550,358961521,62558
1550,359024597,63076
1550,359087598,63001
1550,359150063,62465
1550,359212510,62447
1550,359274900,62390
1550,359337384,62484
1550,359400589,63205
1550,359463128,62539
1550,359525685,62557
1550,359590224,64539
1550,359652689,62465
1550,359698654,45965
1550,359761248,62594
1550,359824139,62891
1550,359886900,62761
1550,359949457,62557
1550,360037589,88132
1550,360100073,62484
1550,360163241,63168
1550,360225743,62502
1550,360288449,62706
1550,360350988,62539
1550,360413545,62557
1550,360476269,62724
1550,360538975,62706
1550,360601606,62631
1550,360664108,62502
1550,360726758,62650
1550,360789278,62520
1550,360851910,62632
1550,360915875,63965
1550,360979099,63224
1550,361041749,62650
1550,361104417,62668
1550,361166938,62521
1550,361229291,62353
1550,361291830,62539
1550,361354240,62410
1550,361416686,62446
1550,361479114,62428
1550,361541690,62576
1550,361604562,62872
1550,361667841,63279
1550,361730899,63058
1550,361795864,64965
1550,361858588,62724
1550,361921293,62705
1550,361984203,62910
1550,362047204,63001
1550,362110206,63002
1550,362173116,62910
1550,362235969,62853
1550,362298230,62261
1550,362361288,63058
1550,362424067,62779
1550,362486180,62113
1550,362548775,62595
1550,362610832,62057
1550,362674908,64076
1550,362737614,62706
1550,362799634,62020
1550,362862210,62576
1550,362923379,61169
1550,362987251,63872
1550,363049975,62724
1550,363111254,61279
1550,363173497,62243
1550,363236814,63317
1550,363299408,62594
1550,363361040,61632
1550,363422801,61761
1550,363484488,61687
1550,363546249,61761
1550,363609306,63057
1550,363672790,63484
1550,363735365,62575
1550,363797830,62465
1550,363859647,61817
1550,363921278,61631
1550,363982225,60947
1550,364064653,82428
1550,364126488,61835
1550,364188564,62076
1550,364250121,61557
1550,364311883,61762
1550,364373458,61575
1550,364435071,61613
1550,364496573,61502
1550,364558056,61483
1550,364619540,61484
1550,364681190,61650
1550,364742655,61465
1550,364804138,61483
1550,364865640,61502
1550,364927160,61520
1550,364988680,61520
1550,365050478,61798
1550,365112017,61539
1550,365173575,61558
1550,365235206,61631
1550,365296726,61520
1550,365358358,61632
1550,365420026,61668
1550,365481639,61613
1550,365543289,61650
1550,365604884,61595
1550,365666423,61539
1550,365728239,61816
1550,365789871,61632
1550,365851391,61520
1550,365912911,61520
1550,365974746,61835
1550,366036396,61650
1550,366098139,61743
1550,366160048,61909
1550,366221698,61650
1550,366283219,61521
1550,366344794,61575
1550,366406352,61558
1550,366467891,61539
1550,366529689,61798
1550,366591209,61520
1550,366652767,61558
1550,366714324,61557
1550,366775937,61613
1550,366837439,61502
