Iteration,ExecutionTime(ms),ActualPeriod(ms),Jitter(ms)
439,0.983991,0.998769,-0.001231
440,1.11212,1.12919,0.129194
441,0.853919,0.886659,-0.113341
442,0.970529,0.995269,-0.004731
443,0.97727,0.995214,-0.004786
444,0.994121,1.00984,0.009843
445,0.964991,0.989954,-0.010046
446,0.984102,0.999269,-0.000731
447,0.98464,0.999733,-0.000267
448,0.98575,1.00043,0.000435
449,0.983362,0.997973,-0.002027
450,0.988047,1.00286,0.002862
451,0.983528,0.998602,-0.001398
452,0.985566,1.00053,0.000529
453,0.980269,0.99525,-0.00475
454,0.984658,0.999436,-0.000564
455,0.985491,0.999769,-0.000231
456,0.998306,1.0129,0.012899
457,0.977103,0.993584,-0.006416
458,0.984084,0.998769,-0.001231
459,0.984418,0.999399,-0.000601
460,0.98625,1.00103,0.001028
461,0.984843,0.999751,-0.000249
462,0.984807,0.999288,-0.000712
463,0.98538,1.00005,4.6e-05
464,0.984973,1.00058,0.000584
465,0.985121,1.00005,4.7e-05
466,0.982139,0.99751,-0.00249
467,0.985177,0.999862,-0.000138
468,0.988454,1.00307,0.003065
469,0.979973,0.99464,-0.00536
470,0.985232,0.999528,-0.000472
471,0.985696,0.999992,-8e-06
472,0.986844,1.00231,0.002306
473,0.987121,1.0036,0.003602
474,0.983936,0.999566,-0.000434
475,0.984677,0.999547,-0.000453
476,0.988047,1.00279,0.002787
477,0.982899,0.997547,-0.002453
478,0.984676,0.999417,-0.000583
479,0.985584,1.00019,0.000195
480,0.98627,1.00073,0.000733
481,0.980362,0.994898,-0.005102
482,0.985121,0.999677,-0.000323
483,0.985529,0.999973,-2.7e-05
484,0.980936,0.99575,-0.00425
485,0.993621,1.0094,0.009399
486,1.01331,1.02845,0.028454
487,0.953825,0.979492,-0.020508
488,0.976084,1.00188,0.00188
489,0.966547,0.99301,-0.00699
490,1.01086,1.0329,0.032898
491,0.930214,0.976751,-0.023249
492,0.978714,1.00436,0.004362
493,0.989658,1.00942,0.009417
494,0.956399,0.986695,-0.013305
495,0.984658,1.00744,0.007436
496,1.00029,1.0236,0.023602
497,0.94077,0.980751,-0.019249
498,0.949566,0.986473,-0.013527
499,0.964603,0.990732,-0.009268
500,1.02001,1.0351,0.035102
501,0.936714,0.96951,-0.03049
502,0.97701,0.993899,-0.006101
503,0.981306,0.996473,-0.003527
504,0.985788,1.00073,0.000732
505,0.986695,1.00227,0.002269
506,0.984344,0.99914,-0.00086
507,0.984177,0.99951,-0.00049
508,0.985732,1.00081,0.000806
509,0.984473,0.999584,-0.000416
510,0.984491,0.99938,-0.00062
511,0.985565,1.00031,0.000306
512,0.985436,1.00051,0.00051
513,0.984658,0.999417,-0.000583
514,0.984714,0.999751,-0.000249
515,0.98564,1.00025,0.000251
516,0.986158,1.00053,0.000528
517,0.984862,0.999473,-0.000527
518,0.985251,0.999862,-0.000138
519,0.984862,0.999547,-0.000453
520,1.0089,1.02355,0.023546
521,0.963844,0.985881,-0.014119
522,0.97638,0.992713,-0.007287
523,0.984343,0.999436,-0.000564
524,0.988769,1.00366,0.003658
525,0.98214,0.997362,-0.002638
526,0.982677,0.998473,-0.001527
527,0.983288,0.998343,-0.001657
528,0.989843,1.00445,0.004454
529,0.983047,0.99788,-0.00212
530,0.984677,0.999381,-0.000619
